stage_id,scope,industry_evidence_status,industry_source_ids,our_stage_status,industry_inputs_tools_outputs,our_inputs_tools_outputs,human_ai_manual_work,iteration_and_validation,industry_effort_status,our_effort_status,evidence_paths,limitations
architectural_input,Architect deliverable inventory / requirements / structural handoff review,DOCUMENTED_PARTIAL,tw-practitioner-ntu-2022;tw-practice-zhuyuan-2018;tw-point-model-transfer-2025;taiwan-design-construction-2026;taiwan-accessibility-stairs-2020;tmec-mrl-planning-h02,INCOMPLETE,Architectural drawings or model; consultant interpretation and geometry transfer.,H03-C diagnostic geometry adopted; AH-009/010 and nine nominal screens match current structural input.,"Separate architect, structure, geotechnical and equipment decisions; log unresolved constraints.","Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md,"H03-C geometry adopted for diagnostics and nominal core dimensions reviewed. Full protected egress, rated products, guard/rail details, WC/MEP and external architectural acceptance remain open. No matched ETABS results or measured industry effort."
design_basis,Materials / loads / codes / simulated ground data,DOCUMENTED_PARTIAL,taiwan-structural-regulations;taiwan-concrete-code;taipei-special-review-2024,INCOMPLETE,Code and site applicability plus explicitly recorded design inputs; procedural requirements are not tool defaults.,Explicit nominal synthetic equipment/panel/roof loads; current model-method clauses and open code-action criteria.,Record every assumption and value source; no approval inferred from a code-title list.,"Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md,"Synthetic lift/roof/panel loads are now in H03-C diagnostics. Current code wind/seismic/actions/combinations, effective stiffness, lateral anchors, tanks and simulated ground/foundation criteria remain incomplete. No matched ETABS results or measured industry effort."
structural_model,Physical and analytical model with source mapping,DOCUMENTED_PARTIAL,tw-practice-zhuyuan-2018;tw-point-model-transfer-2025;taiwan-concrete-code,PRELIMINARY,Documented CAD or BIM transfer paths to an idealized analysis model; no universal IFC-first path.,"Owned wall/frame concrete, explicit eccentric joints, actual midplanes/web centroid and source GUID mapping.",Account for interpretation and transfer work as well as conversion code and debugging.,"Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md,"Source-derived owned wall strips and explicit eccentric contacts verified for gross elastic diagnostics. Local joint/slab interaction, cracking, section-cut demand and final design remain unverified. No matched ETABS results or measured industry effort."
analysis,Actual established-solver execution and verification,DOCUMENTED_PARTIAL,tw-practice-zhuyuan-2018;taiwan-structural-regulations;taiwan-concrete-code,DIAGNOSTIC_VERIFIED,Analysis output and documented input/assumptions; the available low-rise report is historical only.,Five 19-case/12-mode H03-C variants plus ordinary CLI reproduction; 109 identical nominal result files.,Separate research computation from real permit-software acceptance; retain solver/run evidence.,"Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md,Five H03-C 19-case/12-mode variants and ordinary CLI reproduction passed; 109 nominal result files are identical. Twelve modes capture 93.39 percent X and 81.73 percent Y free mass; code modal sufficiency and local force convergence remain open. No matched ETABS results or measured industry effort.
rc_design,Beam / column / wall / slab / stair / joints / reinforcement,DOCUMENTED_PARTIAL,tw-rcad-beam-design;tw-rcad-column-design;tw-rcad-beam-workflow;taiwan-concrete-code;tw-tcea-reinforcement-notes;tw-rebar-dimensions,SCOPED_LANDING_STRIP_DEMONSTRATION,"Documented automated force-based or ETABS-result postprocessing, grouping, drawings and logs.",Existing landing IFC/load ledger -> real local OpenSees -> selected code checks -> RC-001 drawing.,"Count manual detailing, code research and implementation; do not compare against all-manual design.","Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;../structural/outputs/deliverables/landing-strip.md,"Local direct gravity only; full landing, flights, anchorage, seismic, serviceability and all-member design remain incomplete. No paired software or labour data."
foundation,"Foundation analysis, sizing, reinforcement and settlement checks",DOCUMENTED_PARTIAL,tw-standard-calc-2008;taipei-special-review-2024,NOT_STARTED,Historical example treats foundation design separately; current local conditions can affect review applicability.,Develop labelled simulated ground data; design foundations and revisit assumed supports.,Current comparable low-rise foundation practice needs additional evidence; trial fixed supports are not design.,"Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,NOT_MEASURED,evidence.yaml;../../docs/industry/taiwan-workflow.md,Attributed evidence only; no matched timing/numerical equivalence. See per-source limitations.
iteration,Repeated architect-structure coordination and controlled design change,DOCUMENTED_PARTIAL,tw-practitioner-ntu-2022;tw-rcad-beam-design;tw-rcad-column-design;tw-point-bim-2025,STARTED_H03_C_DIAGNOSTIC_ADOPTION,Coordination and drawing updates are described; product manuals document update/log mechanisms.,"Controlled H03-C geometry/load/interface adoption, repeated verification and four reviewed drawings.",Distinguish visual updates from recalculated design; capture rework and checking time.,"Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md,"H03-C geometry/load/interface adoption updates analysis, quantities, trial reactions and four review sheets together. Downstream RC/foundation design and final drawings are not complete. No matched ETABS results or measured industry effort."
deliverables,"Drawing package, calculation report and model release",DOCUMENTED_PARTIAL,taiwan-structural-regulations;taipei-permit-forms;tw-practitioner-ntu-2022,INCOMPLETE,Coherent drawing/calculation/specification package and applicable review documents; example forms may be historical.,"AH-009/010, SH-003/004, current response, diagnostic tables, positioned trial reactions and adoption receipt. RC-001 adds a scoped bar-choice and spacing illustration; no anchorage or pricing acceptance.","Compare content and consistency, not just file count or appearance.","Record independent check scope, source/revision and reviewer; unperformed checks remain open.",NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,evidence.yaml;../../docs/industry/taiwan-workflow.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md;../structural/outputs/deliverables/landing-strip.md,"AH-009/010 and SH-003/004, diagnostic report and positioned trial reactions reviewed. No coherent final RC/foundation drawing/schedule/calculation package. No matched ETABS results or measured industry effort."
cost_control,Quantities / cost basis / alternatives,DOCUMENTED_PARTIAL,tw-envision-coordination-service;tw-practitioner-ntu-2022,PRELIMINARY_QUANTITY_SCREEN,Firm service description identifies cost/performance/construction review; NTU account discusses construction interfaces. No full estimating procedure.,4.06848 m3 duplicated accounting removed; unchanged physical candidate; no priced savings claim. RC-001 adds a scoped bar-choice and spacing illustration; no anchorage or pricing acceptance.,AI-assisted issue/option review and quantity code; no architect/contractor approval or measured labour.,Review each design iteration; unknown and not checked are not pass.,NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,research-gaps.yaml;../../docs/scope.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md;../structural/outputs/deliverables/landing-strip.md,"4.06848 m3 of duplicated wall/frame accounting corrected; no physical saving or priced bill. Complete reinforcement/formwork quantities, budget and verified prices remain open. No matched ETABS results or measured industry effort."
constructability,Detailing / placement / formwork / sequencing / site constraints,DOCUMENTED_PARTIAL,tw-envision-coordination-service;tw-practitioner-ntu-2022;tmec-mrl-planning-h02,REVIEW_STARTED,Firm service description identifies cost/performance/construction review; NTU account discusses construction interfaces. No full estimating procedure.,Portal and monolithic interface geometry reviewed; elastic contact force transfer implemented; reinforcement remains open. RC-001 adds a scoped bar-choice and spacing illustration; no anchorage or pricing acceptance.,AI-assisted issue/option review and quantity code; no architect/contractor approval or measured labour.,Review each design iteration; unknown and not checked are not pass.,NOT_MEASURED,PROCESS_WALL_TIMES_MEASURED_ACTIVE_LABOUR_UNKNOWN,research-gaps.yaml;../../docs/scope.md;workflow-example.md;../structural/outputs/deliverables/structural-review.md;../structural/outputs/deliverables/landing-strip.md,"Source joint/portal geometry and analytical transfer reviewed. Bar layouts, congestion, anchorage, placement, formwork, sequencing and contractor review remain incomplete. No matched ETABS results or measured industry effort."
